ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Number_Object_Number,
13,37,17,530,237,1.319814215,0.881059875,1,0.566666667,0.609212418,6.930084349,5.830951895,2,1.156285544,1,2.683281573,3.277962832,-30.59838253,18.726,0.871794872,0.636619772,0.127479354,0.050665241,0.148507786,0.039625855,0.072874008,0.104829106,0.069739908,0.068388179,0.057627225,0.035981391,0.037668331,0.094767707,0.100895753,0.036748371,0.029648174,0.070482101,0.020420865,0.032636805,0.031649478,0.118915064,0.112105564,0.100025979,0.046836728,0.049273322,0.038096061,0.015943662,0.049996833,0.049305114,0.034507576,530.1176471,237.0588235,37,
13,38,8,505,237,0.957204012,0.605068787,1,0.888888889,0.857439244,3.550441361,2.828427125,1.414213562,1.051776695,1,2,2.826766256,45,10.828,1,1.273239545,0.159154943,0.318309886,0.159154943,0.159154943,0.159154943,0.318309886,0.159154943,0.318309886,0.159154943,0.159154943,0.159154943,0.318309886,0.159154943,0.795774715,0.159154943,0.159154943,0.159154943,0.159154943,0.159154943,0.875352187,0.159154943,0.318309886,0.159154943,0.517253565,0.159154943,0.159154943,0.159154943,0.159154943,0.159154943,504.875,237.125,38,
13,40,17,510,242,1.04357403,0.672985955,1,0.85,0.809803731,5.497080295,4.472135955,2,1.225201596,1,3,4.065944355,7.132256149,16.242,0.918918919,1.082253613,0.117386886,0.165521141,0.173179301,0.084648887,0.084648887,0.287752137,0.134771068,0.061168527,0.053718035,0.063661977,0.047188944,0.348867635,0.107103591,0.076701032,0.147875687,0.041076531,0.064207237,0.074343584,0.034797243,0.259231571,0.101416182,0.211810271,0.199581822,0.186413318,0.046677044,0.06376203,0.084953095,0.08689284,0.055418069,509.9411765,241.7647059,40,
13,41,31,505,243,1.2165222,0.844608709,1,0.632653061,0.727519852,8.73108925,7.810249676,2.236067977,1.353465075,1,4.024922359,4.674486306,-34.42150056,23.14,0.911764706,0.600349041,0.018127039,0.179561161,0.106608557,0.020249783,0.028167348,0.005537012,0.032468973,0.032829724,0.021832332,0.026724903,0.033482687,0.029132184,0.021151923,0.014920806,0.018260217,0.019414571,0.019760341,0.01043499,0.024341827,0.003841448,0.025844101,0.025060093,0.021369621,0.01948112,0.026238355,0.02367296,0.021303181,0.021031774,0.017543799,503.9354839,243.1612903,41,
13,42,11,514,243,1.010219125,0.702101753,1,0.916666667,0.840010368,4.430264659,3.605551275,2,1.128564869,1,2,3.154687934,-15.07069278,12.828,0.956521739,1.077356538,0.097941503,0.113009427,0.195447872,0.097941503,0.097941503,0.187189974,0.195447872,0.145740222,0.097941503,0.097941503,0.097941503,0.284195305,0.100939534,0.257477214,0.18983247,0.097941503,0.097941503,0.097941503,0.097941503,0.337745759,0.114947004,0.3110867,0.451084886,0.104111399,0.097941503,0.097941503,0.097941503,0.097941503,0.097941503,514.3636364,242.9090909,42,
13,44,17,498,249,1.002649558,0.479695903,1,0.85,0.718593863,5.04055982,4.472135955,2,1.259659621,1,3,4.422762633,11.30993247,17.242,0.944444444,1.018591636,0.04731291,0.026081585,0.070296654,0.033441866,0.058952471,0.053680795,0.088384922,0.115367971,0.016996446,0.124563128,0.118440211,0.123303237,0.083552722,0.092918657,0.058803193,0.019145169,0.182294938,0.185486576,0.060519586,0.226691919,0.050011212,0.053287944,0.09283458,0.108889378,0.077364931,0.143315008,0.168484395,0.087724529,0.135773692,498.6470588,248.5294118,44,
13,45,21,503,252,1.020398521,0.251465013,1,0.84,0.744424708,5.391196749,5,2.236067977,1.288785481,1,4,5.21795813,8.130102354,18.828,0.933333333,1.006608205,0.024716441,0.028534664,0.017440915,0.024123237,0.115195092,0.066867844,0.021774011,0.096252557,0.019600102,0.10752197,0.087402724,0.111514823,0.064902872,0.119346332,0.076367404,0.032711807,0.095363442,0.052225125,0.078867485,0.149557871,0.065453167,0.130846939,0.075029412,0.045559794,0.080840096,0.091925545,0.037412024,0.161554263,0.045017886,503.047619,251.6666667,45,
13,47,6,497,255,0.989019909,0.665635897,1,0.666666667,0.685973107,3.21412648,2.236067977,1.414213562,1.069035594,1,1.414213562,2.398627574,45,10.484,0.923076923,1.375098708,2.47E-14,0.495035535,0.275019742,0.132009476,0.220015793,0.635845643,0.415829849,0.244217531,0.352025269,0.633645485,0.704050539,0.530238062,0.436951366,0.00501636,0.055884012,0.049635563,0.361107521,0.644417458,0.362234002,0.93351821,0.223821186,0.216224481,0.285235515,0.422321195,0.193101349,0.254021434,0.713738274,0.196142848,0.195106485,497.1666667,255.1666667,47,
13,48,4,492,258,1.865320638,0.95588402,1,0.444444444,0.46348396,4.284429972,2.828427125,1,1,1,0.707106781,1.258527076,50.30982764,10.414,1.333333333,0.636619772,0.11253954,0.159154943,0.328106321,0.05626977,0.05626977,0.397887358,0.328106321,0.27852115,0.05626977,0.084404655,0.028134885,0.159154943,0.318930979,0.397887358,0.318930979,0.042202327,0.014067442,0.070337212,0.014067442,0.537147933,0.323856846,0.27852115,0.323856846,0.32825707,0.042202327,0.05626977,0.05626977,0.049236049,0.007033721,492,257.75,48,
13,49,15,501,258,0.982969435,0.485259414,1,0.9375,0.857306208,4.702255148,4.242640687,2,1.227614237,1,3,4.11151192,-45,14.828,0.967741935,1.061032954,0.07073553,0.055016524,0.07073553,0.07073553,0.07073553,0.055016524,0.07073553,0.166796127,0.07073553,0.07073553,0.07073553,0.117116303,0.07073553,0.27857573,0.07073553,0.07073553,0.07073553,0.07073553,0.07073553,0.315835598,0.07073553,0.234415887,0.07073553,0.166796127,0.07073553,0.07073553,0.07073553,0.07073553,0.07073553,501.4,258.4,49,
13,51,18,497,263,1.0784411,0.744289681,1,0.72,0.739947272,5.941677804,5,2,1.23570226,1,3.130495168,3.968190659,-33.6223288,17.484,0.87804878,0.798575842,0.090744714,0.1137172,0.099067831,0.044605695,0.094241171,0.004156172,0.027910403,0.027010877,0.012402161,0.079394083,0.039997573,0.053983985,0.028157265,0.064359423,0.064928104,0.053014076,0.044848004,0.079532829,0.044014204,0.049047412,0.072067403,0.080110249,0.054966293,0.030863837,0.122204537,0.01549743,0.024929803,0.058812101,0.044513038,498,262.2777778,51,
13,53,19,503,264,1.007654737,0.485820279,1,0.76,0.878695199,5.345,4.472135955,2.236067977,1.257522222,1,4,4.671843891,45,16.484,0.863636364,1.209577567,0.04026337,0.267380304,0.101859164,0.04026337,0.104684761,0.353960593,0.101859164,0.025464791,0.04026337,0.104684761,0.127232248,0.389611301,0.101859164,0.072320006,0.044818032,0.04026337,0.104684761,0.127232248,0.098886836,0.296919462,0.101859164,0.248332641,0.044818032,0.210848469,0.04026337,0.104684761,0.127232248,0.098886836,0.030986689,503.0526316,264.0526316,53,
13,55,20,498,269,1.067356104,0.599074793,1,0.555555556,0.532451812,5.845177635,5.385164807,2.236067977,1.273935433,1,4.024922359,4.680193225,-48.70345606,21.726,0.816326531,0.860534313,0.053906399,0.063382803,0.090875031,0.025340433,0.026696727,0.049513405,0.083794938,0.023361817,0.022932588,0.03887011,0.063866599,0.137800171,0.082977228,0.08058107,0.111060486,0.041570733,0.069273866,0.118516848,0.076433135,0.151059319,0.077239262,0.07326492,0.077683194,0.056891578,0.05793462,0.088683586,0.150045949,0.051327577,0.062895412,498.5,268.45,55,
13,56,21,503,269,1.071961212,0.703989932,1,0.7,0.823796896,6.265417338,5.385164807,2.236067977,1.252720752,1,3.577708764,4.449761747,16.09447468,17.898,0.875,0.92200105,0.075166198,0.001513959,0.156055325,0.054197867,0.03069012,0.095066186,0.124197724,0.053439064,0.038486705,0.056269697,0.075851733,0.140632572,0.126534749,0.060549408,0.032547092,0.042898221,0.05786059,0.049577918,0.025578362,0.129063688,0.09522304,0.056640175,0.056482223,0.080546785,0.05716665,0.043730801,0.028784651,0.032843978,0.060385466,503.2857143,269.047619,56,
13,57,8,509,269,1.12900986,0.788203945,1,0.666666667,0.914630809,4.185367054,3.16227766,1.414213562,1.051776695,1,1.788854382,2.575733987,-24.40703742,10.484,1,1.018591636,0.360126526,0.407436654,0.144050611,0.234497405,0.072025305,0.651898647,0.103876373,0.203718327,0.360126526,0.116137315,0.116137315,0.774129643,0.175245131,0.266053327,0.126371061,0.300303203,0.033523892,0.125004062,0.271014294,0.480775252,0.10670174,0.136295935,0.132486472,0.540538088,0.273219256,0.139082666,0.10207634,0.273918302,0.248727981,508.75,269,57,
